#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
3efef00996f73108e7e2e5f24d9bef23$Unassigned	0	2	0	0	0	0	0	0
cbce64eb4ac64c72ff24cdfb69c11311$Unassigned	0	0	36	70	0	0	37	0
D_3__Flavobacteriales_D_4__NS7_marine_group$d38cbe6ab918d2161eeaf61655012611	82	0	0	38	0	44	47	31
D_3__Opitutales_D_4__Puniceicoccaceae$9dbfccd5bdcec1b98976b6950ef32fa4	0	26	36	0	0	48	122	40
D_3__Flavobacteriales_D_4__NS7_marine_group$c6e3bdbb33be6f0c60de3c12571898a6	23	0	30	42	0	0	28	12
$db6170692ab343588a818e888177e35c	0	0	0	0	7	16	0	100
D_3__Microtrichales_D_4__Ilumatobacteraceae$680523fb47fcfdd14eeb5aa8909d4677	18	43	28	15	9	20	21	19
D_3__Flavobacteriales_D_4__Cryomorphaceae$86b7b0b27ec8a795c881e32ebefcbda3	20	31	27	37	0	141	46	0
D_3__SAR86_clade_D_4__uncultured_marine_bacterium$85bfaff5da4d9b0cf12463dc65549623	57	70	57	0	0	0	92	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$512aef76fa04c124a5d9edea388cf571	0	17	25	19	0	71	0	7
D_3__Flavobacteriales_D_4__NS9_marine_group$c99f0997dc2a84c95f12a06ec9cf1526	0	35	0	181	16	94	52	0
D_3__Vibrionales_D_4__Vibrionaceae$13a4dec3e1206c45556698fd07f14cdb	0	0	0	21	0	15	0	0
D_3__Flavobacteriales_D_4__Crocinitomicaceae$6912a6e06f981d88db638f4871b267fd	0	0	0	39	3	20	39	89
D_3__Corynebacteriales_D_4__Nocardiaceae$4dbaa019f32ba0cd4ea1eef6049329bf	0	0	0	18	13	168	80	0
D_3__Oligoflexales_D_4__053A03-B-DI-P58$d592a50a52c07407c0e597a53bf4afa9	0	0	0	48	0	0	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$8efc57223249dbe9e4493dd1eff3bc37	0	0	0	0	0	0	12	35
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$977490672e3c8e0397988bc7891a08a0	153	12	17	0	0	0	0	36
D_3__Campylobacterales_D_4__Arcobacteraceae$29d21c0eb03994451f7f4ce76af3ce7f	0	16	0	0	0	25	0	0
D_3__Legionellales_D_4__Legionellaceae$8392bfb476cdd5bd13c60470880254b2	0	4	33	5	3	5	6	0
D_3__Oceanospirillales_D_4__Oleiphilaceae$2f7fe6bb261bdfc42d1db79bb7334758	2	0	0	0	0	6	0	0
D_3__SAR86_clade_D_4__uncultured_marine_bacterium$9c1879721dc39fbdfb52af0e0dd119b9	49	81	42	30	0	0	33	59
05be93613b665a32447135edae7fa6be$Unassigned	0	165	152	9	0	0	0	41
D_3__Vibrionales_D_4__Vibrionaceae$73cd993a4995de96bd20ae96745ad23f	0	0	110	105	0	0	0	0
471b6cebda22f3fff64d28a8c9d0c7d6$Unassigned	58	13	25	0	0	0	0	160
D_3__uncultured_bacterium_D_4__uncultured_bacterium$5ec74a35b787e021d3fd7b62fd37fd06	0	0	0	5	28	7	22	0
D_3__SAR11_clade_D_4__Clade_II$d47ed0abc518053b66ff559bb82257bb	0	57	47	52	0	0	0	0
D_3__Kordiimonadales_D_4__uncultured$7cf261468670bdbcd59945f4e596af85	34	26	0	17	16	0	0	60
D_3__Sphingomonadales_D_4__Sphingomonadaceae$c52a5849f9d1ff29eb2ac4ed5675a7cd	0	137	0	0	0	0	0	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$978b56cdc291559972a5fcb4d60c0f1b	0	0	0	0	0	349	8	0
D_3__Balneolales_D_4__Balneolaceae$b13abad8ec2d2ebb3fdf99c8048245b7	0	5	0	0	0	79	49	0
D_3__Flavobacteriales_D_4__NS7_marine_group$6e6da1eb3746540e05191d3f460b2be2	10	0	13	225	35	43	19	10
D_3__SAR202_clade_D_4__hydrothermal_vent_metagenome$2a0dec6bd7e49a277aef44b06b36c374	0	8	0	124	16	10	11	26
D_3__Izimaplasmatales_D_4__Izimaplasmataceae$e25774bb90f3bad8385f0f9dc5ac1e5d	13	6	0	19	4	5	0	13
D_3__PB19$bdb5666580cdfd37a6b0a3b56cfd03de	25	20	0	148	38	29	68	17
039ebf7ac63815c09e3c02ae35f84b56$Unassigned	0	0	21	20	47	28	18	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$c3b2c277a92dddb72dd0ae71bb40d7e2	0	0	0	104	95	103	32	0
D_3__Rhodospirillales_D_4__uncultured$aec94d5fd98fd4d1be5eea3dc453f26b	0	0	0	37	0	9	4	0
D_3__Campylobacterales_D_4__Arcobacteraceae$2bb6c6e4b655c870368862ee7470052b	16	8	6	0	0	24	4	8
D_3__Sphingomonadales_D_4__Sphingomonadaceae$d29687b58a1c2fecafc5380bc41f7361	0	0	0	0	0	0	0	8
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$fc56bda98d03be9a9a5eaa7463cd78ad	0	147	150	3	13	3	0	22
D_3__Opitutales_D_4__Puniceicoccaceae$24debc5441ae9718daef7a242007ebec	0	40	0	0	133	53	71	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8536383c11493d4a31b488028b955583	0	60	0	0	0	0	0	53
D_3__Rhodobacterales_D_4__Rhodobacteraceae$9be3b26bf60730a14443468769ed4b0a	0	57	83	111	32	38	16	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$bf9e5fc7191b579948c0f781ed5aaea0	0	0	0	0	0	0	0	167
D_3__Flavobacteriales_D_4__NS9_marine_group$c0a2e355d6383d7704567f2118f4b955	39	5	2	36	5	54	5	21
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$18c987e3fb6b49f45fd882c6fb3b65c0	0	77	0	0	0	0	0	54
D_3__Oceanospirillales_D_4__Halomonadaceae$1a76da3c094df2d4f9c03f9d5d818bef	0	0	316	13	0	0	0	0
8aa4dd0499066e1e820ffa4ffd950a82$Unassigned	0	0	0	15	3	4	7	10
D_3__Flavobacteriales_D_4__Crocinitomicaceae$930108198523ff56e2556804265210ab	19	93	69	43	78	0	0	34
15a07b91b04b7e6296ae1d9ca1592cb5$Unassigned	0	0	0	0	11	92	44	0
D_3__Steroidobacterales_D_4__Woeseiaceae$2d84ebdbed8c742fb816640233576892	0	8	0	22	6	8	27	33
D_3__Phycisphaerales_D_4__Phycisphaeraceae$e264704ebcd8120bd63764789ae08438	4	0	0	0	0	0	13	60
D_3__Rhodospirillales_D_4__Terasakiellaceae$78d715d13764f8cc4638aa50a318ecc6	0	13	57	0	0	0	0	3
D_3__Pseudomonadales_D_4__Moraxellaceae$ef9a1fb62026965db9a0ae3ac96370b6	0	16	215	12	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$2c93e51d63ebce7cf0bdac7dd5213e92	97	68	0	0	0	0	0	33
D_3__Flavobacteriales_D_4__Flavobacteriaceae$4748387db2a89cef5104c70fb4aa1a09	0	0	0	0	0	0	5	0
D_3__Chitinophagales_D_4__uncultured$34c8f234851c4f8755e6be5b2c25e8ee	60	0	94	0	53	0	0	83
2c2fd3bafbcabb32e1d3f60e055a19ec$Unassigned	0	43	0	0	0	0	0	39
D_3__Rhizobiales_D_4__Hyphomicrobiaceae$57e38c79df4944c840c32ba7ac17b724	0	0	0	67	10	111	35	0
D_3__SAR86_clade_D_4__uncultured_marine_bacterium$b72e4e632e4db949dfd0fd0b41de9be1	0	102	0	0	0	0	0	93
D_3__Nitrospinales_D_4__Nitrospinaceae$c839b8d3b8ca7845448bcb9455e09f29	0	0	0	0	0	0	0	79
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$fa9bcf57a6ba4341d9d45a92b4d31df8	30	0	37	92	0	0	0	69
D_3__Arctic97B-4_marine_group$679fc57fb9151c3d8e1d19a49b5430c7	0	0	0	0	0	0	0	57
D_3__Rickettsiales_D_4__Rickettsiaceae$c14f5a0d37915af3dc0d3cf8c996849a	20	7	10	62	14	0	0	32
D_3__Salinisphaerales_D_4__Salinisphaeraceae$02aaba5951d549f125d1025bea8abe02	0	0	0	0	0	97	43	0
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$2dd550a0278adf9174ffefeb6d9f2c4d	95	59	0	0	0	0	0	0
D_3__Rhodospirillales_D_4__Terasakiellaceae$6e9f3456a4beaa99eba22b9a1784d51c	0	0	0	13	0	0	0	0
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$9a88134107d1c85a3057e7998d31da12	0	51	0	0	0	0	0	136
D_3__Flavobacteriales_D_4__Cryomorphaceae$0948ca442e763a828997d6d9fae1ddc8	30	13	35	0	0	93	19	32
D_3__uncultured$aab091ff5af0c7a54f150994e0cbe34f	3	0	0	119	25	38	42	48
D_3__Oceanospirillales_D_4__Oleiphilaceae$aab0041e5a65b71810103794b78f7ed7	0	2	7	7	0	5	7	7
D_3__Betaproteobacteriales_D_4__Methylophilaceae$c419fd7b92a29ce9d3a8ed7f28369ff4	59	48	50	0	0	0	0	69
D_3__Rhodobacterales_D_4__Rhodobacteraceae$3cf781762b6e9088f255f241e807f3b0	0	0	89	0	0	0	4	0
D_3__SAR86_clade$1e5b536a9d2ac0603578ee6c0f6fac21	32	32	34	19	21	0	22	61
D_3__Opitutales_D_4__Puniceicoccaceae$47f6d3369793c854ec817419e9cf8b8d	50	0	0	0	0	0	0	58
D_3__Nitrospinales_D_4__Nitrospinaceae$200b859e92d751fca0a4326a7f74481a	9	7	7	137	24	0	0	55
D_3__Pirellulales_D_4__Pirellulaceae$612b7a7af7f1c2ee272ce708e7748b42	0	0	0	27	0	0	16	25
D_3__Izimaplasmatales_D_4__Izimaplasmataceae$b80109fe95d2150d2035f9849ec20c7c	5	3	0	7	0	0	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$1dc10455c5832f1d2046f6c27d05f871	10	0	0	18	119	53	56	0
D_3__Synechococcales_D_4__Cyanobiaceae$8cac6dea7eabac0e3c839311192c859c	100	23	0	0	0	0	0	0
D_3__Chitinophagales_D_4__uncultured$a88155c21539c0ab4a5b8240724391cb	0	48	90	0	0	0	0	157
D_3__Flavobacteriales_D_4__Cryomorphaceae$abe40ae22c42ec37f145963e0342d00e	90	76	0	0	0	0	0	105
D_3__Microtrichales_D_4__Ilumatobacteraceae$e06b11bc5f10442aa6f0474854957d7e	0	94	56	15	52	28	26	16
D_3__Flavobacteriales_D_4__Crocinitomicaceae$8b702db4f33a3bdfae12b7eb18ce9e51	0	0	12	51	28	29	28	0
927e06614c9de51fbfd7a5e49c2c1c7d$Unassigned	64	33	35	0	0	0	0	79
D_3__Opitutales_D_4__Puniceicoccaceae$75cb0a4bfac398a03688b4fb4aa7c0ff	0	23	50	21	13	0	97	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$5c5ad2aaf8ee197faf0abacae6c4d988	0	0	0	18	59	231	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$874f69b52027238c08a7cf7adfcebccd	0	11	0	15	0	8	0	56
D_3__Campylobacterales_D_4__Arcobacteraceae$496287bb27bcdb018c000bb255442090	15	0	0	0	0	0	16	59
D_3__Cytophagales_D_4__Cyclobacteriaceae$b962b44de15e204a6fb14ed4f528d4a2	0	0	0	14	8	199	32	16
b1f257a1e45e1593d5623502410a3718$Unassigned	0	0	0	6	0	0	0	21
D_3__Candidatus_Peregrinibacteria_D_4__uncultured_bacterium$3e62528069f4e03454e2e8f10e21d0a3	0	0	0	0	0	0	4	6
$97b6131dae7f9bc6fa381cc7fc1f0510	25	14	14	53	0	0	0	34
D_3__SAR11_clade_D_4__Clade_I$c94357e21b869c86bd0bd617b2fb96d9	0	0	102	99	0	0	102	0
D_3__Pirellulales_D_4__Pirellulaceae$eebec99358de9aef5c4b87ce008cbb5a	5	10	7	24	9	9	0	17
D_3__Flavobacteriales_D_4__NS9_marine_group$9bdd289336cdee9ebfd1facb842df47b	0	16	15	37	16	55	163	0
$56b97af06903af7f239cb3bf76dd3699	13	0	0	0	0	0	0	73
f3367edd2517b4480566f82d42d4b84e$Unassigned	10	0	0	9	0	0	4	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$5502913541746745d7412b5b908d40d6	0	64	0	0	0	0	0	76
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$6b40c572077f23e58872d268fbe7e097	0	0	0	0	0	0	3	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$65537d39bcf0f63466049d430cd47355	16	37	39	10	0	29	21	17
D_3__Microtrichales_D_4__Microtrichaceae$81f2dbcc73ce547d727c15e00ed9e810	0	30	0	49	0	123	61	0
7c9df5085491dc9bb8e9e6639792fee4$Unassigned	0	0	0	0	0	78	0	0
D_3__Flavobacteriales_D_4__Crocinitomicaceae$aa8844b61a27636ebdac24ec8b7d0b2d	0	0	0	4	0	0	0	0
2fed6fb39681dfa0677f32c6fdeeb59c$Unassigned	0	0	0	25	26	0	30	14
D_3__Flavobacteriales_D_4__Flavobacteriaceae$2a7649a5853ae976405f2c8eddde7eba	34	34	9	8	11	7	0	28
D_3__Flavobacteriales_D_4__Flavobacteriaceae$441bae55d296eaa4e3941a335a4c0e99	0	0	0	106	0	160	27	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$9ddb03d8a3cc130ac08a9b09786666e0	0	7	62	13	7	13	5	11
D_3__Micrococcales_D_4__Microbacteriaceae$09fabd4804530767d5f087a924993995	62	41	42	8	16	5	9	30
D_3__SAR86_clade$7c4e1ecf21575aace663d69b334c6e1a	0	47	0	79	0	44	70	51
D_3__Bacteroidetes_VC2.1_Bac22_D_4__uncultured_bacterium$83008c5b2b36520f847f16f49d3f1bc4	5	0	0	7	6	0	0	0
D_3__Alteromonadales_D_4__Alteromonadaceae$ca1c98ab696d62f2ae1a8737caa2a7b4	0	0	8	0	0	0	0	0
D_3__Flavobacteriales_D_4__NS7_marine_group$ab0a054eda9f8f0522c16863e93f23a7	0	0	0	17	23	68	106	0
D_3__Campylobacterales_D_4__Arcobacteraceae$b509da5d5583e004399ed0e8242bc660	0	0	0	16	0	8	0	23
D_3__Actinomarinales_D_4__Actinomarinaceae$24ff9cfea345013a59890bd10e35f76f	57	55	0	0	0	0	0	63
D_3__Flavobacteriales_D_4__Cryomorphaceae$8a77a1a9c24eb8ad54f33c384202aa99	0	129	32	0	0	27	28	5
D_3__Desulfobacterales_D_4__Desulfobacteraceae$39ffdc713694ec1665e7cfafec424f9a	0	0	0	0	8	0	0	0
7c21395e057b9348f43f5803613a26ce$Unassigned	0	32	38	0	0	0	0	86
b9b2f83f6936bcdba81809634c021194$Unassigned	0	7	0	0	0	0	0	0
d83677def75378ff9383de72b9c3359f$Unassigned	13	36	51	14	0	10	102	12
D_3__Coxiellales_D_4__Coxiellaceae$a25ae6563f6ea0514043597de481201f	18	38	140	0	3	0	0	50
D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$c6875af3c16942bc5581d6b85204a10c	0	0	0	0	0	51	86	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$ef466b2f3bc88454785f3ac7cb04d208	0	83	35	0	10	0	0	146
D_3__Campylobacterales_D_4__Arcobacteraceae$16d924f1974f1a66c44fa61a5ca21732	16	11	0	6	0	0	0	49
fbedc989be8892f7d2904f23848b99c7$Unassigned	0	0	0	23	0	59	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$25d9fb66d84eb92726d2ffd55d819152	31	0	21	12	0	0	7	53
D_3__Chitinophagales_D_4__Saprospiraceae$57d52b2af03ea1cdcffebe7bb3ca63e4	0	0	0	0	0	90	64	0
D_3__Puniceispirillales_D_4__SAR116_clade$c151b82dbb31e8170565f23c01ba8c0f	0	0	0	0	0	37	35	0
D_3__Chitinophagales_D_4__Saprospiraceae$2198a8ea000bfd9a2926f1339d7db108	0	7	7	31	10	39	144	31
D_3__SAR11_clade_D_4__Clade_I$70328d0af1617f424074d0004d836006	22	20	37	68	19	38	28	0
D_3__Coxiellales_D_4__Coxiellaceae$c21ecfac2f9d06f45d33865444a41330	38	59	83	6	10	4	0	48
e171f38da68d63c83fc5481349d9a7cf$Unassigned	120	0	7	5	0	0	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$ef6f38e83a282e8d08cfd52c9c4e2a3a	0	0	130	46	0	24	0	0
9520364b24f78b04a359361f7096ed38$Unassigned	0	9	0	0	0	0	22	56
D_3__Flavobacteriales_D_4__Flavobacteriaceae$351c8e357920f83d0a2816777ec2e89d	15	63	20	0	42	33	0	37
D_3__SAR86_clade$d1f656cf9d2ac199ab7c3ac466ffd597	0	0	0	126	21	66	59	0
D_3__OM182_clade_D_4__uncultured_gamma_proteobacterium$6c7b37055a2f5151c3e7a825ecc9f314	16	0	0	6	0	0	0	76
D_3__Pseudomonadales_D_4__Moraxellaceae$beb49d35c4fc0b563972ae20f4fa77db	0	0	229	21	0	7	0	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$260e29e353b6bed16bac0685e5a6b4c4	0	0	0	9	8	15	6	0
D_3__Rhizobiales_D_4__Rhizobiaceae$41980316a7c7e3e8963b2526e9d46b03	0	0	84	62	12	35	5	0
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$59975ee5f4768ef697270bf42992e936	29	0	5	4	0	0	0	155
D_3__Rhizobiales_D_4__Beijerinckiaceae$2cfae6ee13e1c4811820784ae961a5a2	0	0	0	0	12	98	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$55595e9283aa785afd63b33665c23b32	0	0	36	0	0	112	120	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$14801a8cadbf0340d321000bcd2fa3a3	0	0	7	0	0	7	9	0
D_3__metagenome_D_4__metagenome$b0c014b8e11bab3d5b74e5aac3466bdb	0	0	0	144	18	52	33	12
D_3__Sphingomonadales_D_4__Sphingomonadaceae$589753e8134dc0c3d4313619fc506a29	0	8	20	0	0	10	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$7c81ffa1f104ae1e1e52420471756ea3	42	0	10	44	14	8	0	0
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$ac69b4ce45c43340ae48065f6131dd83	0	0	0	9	0	0	0	0
$ad56c51cec12dfd6e5a6a30601795b3d	0	0	0	136	19	16	42	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$422d290e39e50c1d398c5544b0d8e56c	0	6	0	0	0	0	4	33
D_3__Flavobacteriales_D_4__Flavobacteriaceae$1715ac0ba4ee293d938d5c3fd94225b2	0	10	0	0	0	0	0	0
D_3__Chitinophagales_D_4__uncultured$4b24473f7c57078d37140f26053121ba	0	53	113	0	0	0	0	96
D_3__Flavobacteriales_D_4__NS9_marine_group$aaa42bb6a94f3183caee6a2802a3724a	0	0	0	0	0	0	8	74
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$64976ee9f405254c0d8489585f4550a2	6	10	0	78	19	52	33	9
D_3__PB19_D_4__uncultured_bacterium$4dbb172d789ee206382029e03996514b	9	7	14	0	0	0	0	198
98fe6ece6ec25a8932f8c3be23ab41f5$Unassigned	0	0	199	0	0	32	5	6
D_3__Nitrospinales_D_4__Nitrospinaceae$97c42115bd000f779a6174f83449537b	0	12	0	75	38	46	43	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$a656551980326f6cfb8b7310dfa0b95a	0	0	97	69	34	57	0	0
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$c115d23d2095b2ba78b974a2480d1943	0	37	0	50	0	68	69	0
D_3__Steroidobacterales_D_4__Woeseiaceae$5f7fac202b171c2ff4974fb7d9148f15	0	19	14	110	19	24	34	18
D_3__uncultured_bacterium_D_4__uncultured_bacterium$889d6616f1226705c8ac7ad8797ae402	0	0	154	0	4	0	0	0
8ad5b00b4d1d3806c5becd842f028692$Unassigned	0	0	45	42	12	0	0	0
3a1170228b4fd2b2130ab038d4e61aca$Unassigned	7	0	0	0	0	0	0	0
D_3__Oceanospirillales$6e6fdfca53cdd313de88a10be47039b0	0	0	0	0	0	0	2	0
D_3__Candidatus_Magasanikbacteria_D_4__uncultured_bacterium$e2b4459b0baf83d499469d0dce6a4679	0	8	0	5	0	0	0	26
D_3__Sneathiellales_D_4__Sneathiellaceae$3534ff181c6a7fd8d4dc8a2f68b26c98	0	0	0	3	0	0	0	0
D_3__uncultured_bacterium_D_4__uncultured_bacterium$434a8f5b05356998e16cb66a6e0bad75	13	11	7	98	19	66	20	16
D_3__Chitinophagales_D_4__uncultured$4a5d8d1a9a6b89b3e23ad1a24d43d836	54	10	0	0	38	0	0	57
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8f18a67ea00bf6dd20c93dbcaaf4c4f2	0	0	0	0	0	3	0	0
D_3__Betaproteobacteriales_D_4__Nitrosomonadaceae$b997b31e1fb5be6484fd42a8d9681e3c	17	13	20	30	50	13	31	34
D_3__Oceanospirillales_D_4__Halomonadaceae$6952b8e3937f5f0a0593fe75537d07cd	0	0	250	0	0	0	0	0
D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$759515f018b6ea0851aa18e395a7b541	0	0	68	0	0	0	0	0
D_3__Pseudomonadales_D_4__Moraxellaceae$d7d741812193364ebde7373d52e0a04e	0	14	146	90	0	0	0	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$25d77b8ca0896d2af3cb80907d264a64	0	0	0	161	3	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$358c971405e7fb0c2222f8cbcc01eb1b	45	31	76	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$4fd3ac501ca4b28392832caac164cce0	0	0	0	238	11	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$720b1c45e5075f149a50db80b68aa4d0	0	0	0	82	73	32	0	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$8cd1f8e3c55a1c2941e27f73290c6a38	8	0	60	12	0	61	22	0
D_3__Cellvibrionales_D_4__Porticoccaceae$c87453c327f2ae7a12be740a1a64a2b7	0	0	0	59	0	85	104	0
D_3__SAR11_clade_D_4__Clade_I$2f6155d75f73d6f026b7181a84d486ff	0	23	0	63	41	48	40	32
D_3__Rhodobacterales_D_4__Rhodobacteraceae$be6cb013f7bb30dce5f38fd50950feae	0	8	0	37	9	21	52	0
D_3__Chitinophagales_D_4__Saprospiraceae$d1843523a56e447c38a95e8686c56c67	0	0	0	82	37	110	17	0
D_3__Kiritimatiellales_D_4__Kiritimatiellaceae$dd23bdd61ad91f1f69478886cb1cf122	0	0	0	7	0	0	0	0
ff70b46e61a01e95372aa8724758870a$Unassigned	79	0	35	69	25	0	0	33
D_3__Vibrionales_D_4__Vibrionaceae$1d789c56110e10dc17a99fb158da5d1a	0	0	45	0	0	0	0	0
253a2c71297a8a31db3eb9e069c2f097$Unassigned	12	14	0	86	18	78	3	0
D_3__SAR11_clade_D_4__Clade_I$2658c28fec2281e0a5866988562aa036	30	42	0	0	0	15	0	58
cd1cb4e07d6d2a02c6f6e85dd0cfb67d$Unassigned	0	0	0	6	0	3	4	19
D_3__Arenicellales_D_4__Arenicellaceae$e1a914386cef81dceeb28f443412e160	0	0	0	46	108	50	40	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$459f690f22a2ea2df9b765a78fe7b8f3	47	5	9	10	0	7	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$9e9e67e3d60210ee3590a07a9db25edc	0	0	25	0	13	0	0	0
D_3__Leptospirales_D_4__Leptospiraceae$e73d90ce437edde4f9dbc33dc86fe959	14	14	81	0	0	0	0	14
D_3__Thiomicrospirales_D_4__Thioglobaceae$37ddc2b6833a76c17bd83e160b964b43	0	0	0	0	0	0	0	24
D_3__Nitrospinales_D_4__Nitrospinaceae$5adb85986d77f4c49aac0d95783bcb13	0	0	0	0	0	0	0	77
D_3__Alteromonadales_D_4__Alteromonadaceae$b6cb5ec9461979d3cb2df00acfe6f7d0	0	0	0	0	0	0	0	5
D_3__Coxiellales_D_4__Coxiellaceae$c7537e7678e0e5b4c8b551428ab86c83	12	19	43	3	6	3	5	20
D_3__Pirellulales_D_4__Pirellulaceae$e6f40046417280470e996e2a49e57df9	27	0	33	0	0	0	0	38
D_3__Campylobacterales_D_4__Arcobacteraceae$04b1e14774a76efc5750e7e0e5522e2b	0	102	0	96	0	14	0	17
874ecf18549028002f49a51fbdc4099d$Unassigned	0	0	0	0	0	0	0	23
D_3__Opitutales_D_4__Puniceicoccaceae$1a81ff348bf86b67acace34f43610feb	0	0	0	0	0	0	24	0
D_3__Flavobacteriales_D_4__NS7_marine_group$a925bc91aa1108d40aab106bae3f44df	0	20	45	0	0	31	139	0
D_3__SAR11_clade_D_4__Clade_I$f86b01f1ea0697ae28c82eacb6f41957	0	0	0	38	16	66	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$e7a58ca9c866ae4e682bd527952e382c	0	0	0	58	21	125	30	0
D_3__Rickettsiales_D_4__SM2D12$eb2d4a24cde0675cddf8ca942d210051	0	129	7	0	0	0	0	28
D_3__Puniceispirillales_D_4__EF100-94H03$15abe67b3e700f97befde14b59df5406	32	20	4	15	7	0	5	55
D_3__SAR11_clade_D_4__Clade_I$38c9ee3461dcb04ad5c0b72bb8a7da1b	0	21	31	56	0	0	54	27
a3cb647b77ad0ddd449f024a909d7471$Unassigned	0	0	0	0	0	7	0	0
bdd1c66abdea831b497e4c349e009194$Unassigned	0	37	0	0	24	73	96	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$ceb81b3ad2e4770f1defa39ccce5db10	0	0	0	230	0	0	0	0
D_3__Alteromonadales_D_4__Idiomarinaceae$ef9122a1e9070cb4ccfa8cd1101ae2ea	0	0	215	0	0	0	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$1038add41ab29338542682636d060488	0	0	34	0	6	28	0	34
D_3__Opitutales_D_4__Puniceicoccaceae$5141a085a19eab6dfd48ac58cb7456c2	0	79	78	0	0	0	72	0
D_3__Cellvibrionales_D_4__Halieaceae$96d06800f7155394e0fbfa0999166fb0	0	0	0	6	0	0	0	0
D_3__SAR86_clade$6d8d05ed97f13abef6be3667f83e6756	0	0	15	61	0	80	72	0
ff796fe6964d6e567cb6f293887113c5$Unassigned	0	0	225	0	0	0	0	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$d80a2690603e11fce9988d1dd83c8257	66	0	0	0	0	0	0	0
D_3__Candidatus_Campbellbacteria_D_4__uncultured_bacterium$4d9929237da76e012ccd49793b57779c	0	0	0	8	6	5	16	28
be5fdd826b0205bb36933902f1f29f72$Unassigned	3	38	45	0	0	26	48	19
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e8b8228c0afccf36d110bd81c5b2267	0	0	0	12	0	18	107	0
f4a1d4ff129eb4ff25632709591360a0$Unassigned	3	0	0	0	0	0	0	0
D_3__Oceanospirillales_D_4__Nitrincolaceae$2d7094fa5b27868e7d22c6bd7156d0f7	3	0	0	0	0	27	4	5
D_3__Microtrichales_D_4__Microtrichaceae$498abd0d370e49ba4356dea591089a6f	29	0	0	0	0	0	0	46
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$91a4ddf8692ec7d070c4d119672c9829	0	0	8	0	0	0	0	0
D_3__uncultured_bacterium_D_4__uncultured_bacterium$ef5d1d820efbf5d7b601fffeb41246d7	0	0	163	0	0	0	0	0
D_3__Rickettsiales_D_4__SM2D12$3e33fea8687bd3f9d3b37fa8a9dfa0d9	0	0	0	6	0	0	21	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$543b43d6d162099893f961b3676d9036	0	0	0	0	0	0	0	41
